"Iteration","Res_rho","Res_rhou-X","Res_rhou-Y","Res_rhou-Z","Res_rhoE","MaxPress","WeightPress","SuperVolume","Time(min)"
     5,  -1.6276e+00,   1.6145e+00,   1.2200e+00,   7.7899e-01,   4.8659e+00,   5.1042e+05,   5.5043e+03,   9.7924e+01, 2.8263333333
    10,  -1.6482e+00,   1.5759e+00,   1.1837e+00,   6.8695e-01,   4.8259e+00,   5.0212e+05,   5.4729e+03,   9.7922e+01, 3.5861666667
    15,  -1.6517e+00,   1.5589e+00,   1.1543e+00,   6.4337e-01,   4.8004e+00,   5.0136e+05,   5.4432e+03,   9.7920e+01, 4.2313333333
    20,  -1.6456e+00,   1.5537e+00,   1.1269e+00,   6.2827e-01,   4.7853e+00,   5.0078e+05,   5.4166e+03,   9.7918e+01, 4.9566666667
    25,  -1.6404e+00,   1.5547e+00,   1.1035e+00,   6.0966e-01,   4.7761e+00,   5.0053e+05,   5.3942e+03,   9.7917e+01, 5.5598333333
    30,  -1.6403e+00,   1.5552e+00,   1.0835e+00,   5.9114e-01,   4.7703e+00,   5.0026e+05,   5.3765e+03,   9.7915e+01, 6.2365000000
    35,  -1.6435e+00,   1.5555e+00,   1.0598e+00,   5.7329e-01,   4.7656e+00,   5.0015e+05,   5.3628e+03,   9.7914e+01, 6.8230000000
    40,  -1.6459e+00,   1.5557e+00,   1.0366e+00,   5.5584e-01,   4.7615e+00,   5.0011e+05,   5.3521e+03,   9.7913e+01, 7.5230000000
    45,  -1.6489e+00,   1.5492e+00,   1.0123e+00,   5.4026e-01,   4.7531e+00,   5.0011e+05,   5.3428e+03,   9.7912e+01, 8.1775000000
    50,  -1.6535e+00,   1.5408e+00,   9.8932e-01,   5.2825e-01,   4.7422e+00,   5.0011e+05,   5.3333e+03,   9.7910e+01, 8.8286666667
    55,  -1.6585e+00,   1.5342e+00,   9.6736e-01,   5.1980e-01,   4.7291e+00,   5.0009e+05,   5.3223e+03,   9.7907e+01, 9.5126666667
    60,  -1.6643e+00,   1.5288e+00,   9.6151e-01,   5.1354e-01,   4.7208e+00,   5.0008e+05,   5.3088e+03,   9.7905e+01, 10.1835000000
    65,  -1.6732e+00,   1.5220e+00,   9.6381e-01,   5.0787e-01,   4.7159e+00,   5.0007e+05,   5.2923e+03,   9.7902e+01, 10.8806666667
    70,  -1.6858e+00,   1.5106e+00,   9.6379e-01,   5.0195e-01,   4.7094e+00,   5.0008e+05,   5.2728e+03,   9.7899e+01, 11.4828333333
    75,  -1.6980e+00,   1.4985e+00,   9.6336e-01,   4.9951e-01,   4.7041e+00,   5.0010e+05,   5.2508e+03,   9.7895e+01, 12.1353333333
    80,  -1.7093e+00,   1.4863e+00,   9.5889e-01,   4.9829e-01,   4.6986e+00,   5.0012e+05,   5.2274e+03,   9.7893e+01, 12.7733333333
    85,  -1.7155e+00,   1.4789e+00,   9.4872e-01,   5.0061e-01,   4.6963e+00,   5.0013e+05,   5.2036e+03,   9.7890e+01, 13.4415000000
    90,  -1.7179e+00,   1.4755e+00,   9.3605e-01,   5.0604e-01,   4.6959e+00,   5.0015e+05,   5.1806e+03,   9.7888e+01, 14.1503333333
    95,  -1.7186e+00,   1.4763e+00,   9.2406e-01,   5.1352e-01,   4.6945e+00,   5.0016e+05,   5.1596e+03,   9.7887e+01, 14.8893333333
   100,  -1.7170e+00,   1.4788e+00,   9.1956e-01,   5.2292e-01,   4.6936e+00,   5.0016e+05,   5.1411e+03,   9.7885e+01, 15.6283333333
   105,  -1.7158e+00,   1.4807e+00,   9.1846e-01,   5.3266e-01,   4.6905e+00,   5.0016e+05,   5.1259e+03,   9.7883e+01, 16.3121666667
   110,  -1.7156e+00,   1.4835e+00,   9.2169e-01,   5.3982e-01,   4.6888e+00,   5.0015e+05,   5.1139e+03,   9.7881e+01, 17.0218333333
   115,  -1.7145e+00,   1.4880e+00,   9.2137e-01,   5.4625e-01,   4.6903e+00,   5.0014e+05,   5.1052e+03,   9.7878e+01, 17.7103333333
   120,  -1.7124e+00,   1.4929e+00,   9.1749e-01,   5.5298e-01,   4.6917e+00,   5.0013e+05,   5.0993e+03,   9.7877e+01, 18.5251666667
   125,  -1.7074e+00,   1.4985e+00,   9.0875e-01,   5.5847e-01,   4.6942e+00,   5.0012e+05,   5.0957e+03,   9.7875e+01, 19.2490000000
   130,  -1.7014e+00,   1.5050e+00,   9.0024e-01,   5.6391e-01,   4.6976e+00,   5.0012e+05,   5.0937e+03,   9.7874e+01, 20.0246666667
   135,  -1.6958e+00,   1.5105e+00,   8.9069e-01,   5.6904e-01,   4.7015e+00,   5.0012e+05,   5.0926e+03,   9.7873e+01, 20.7455000000
   140,  -1.6915e+00,   1.5150e+00,   8.8253e-01,   5.7484e-01,   4.7044e+00,   5.0012e+05,   5.0917e+03,   9.7870e+01, 21.5118333333
   145,  -1.6897e+00,   1.5160e+00,   8.7595e-01,   5.8117e-01,   4.7040e+00,   5.0013e+05,   5.0905e+03,   9.7867e+01, 22.2113333333
   150,  -1.6892e+00,   1.5160e+00,   8.7327e-01,   5.8868e-01,   4.7021e+00,   5.0013e+05,   5.0886e+03,   9.7867e+01, 22.9796666667
   155,  -1.6902e+00,   1.5145e+00,   8.7461e-01,   5.9593e-01,   4.6988e+00,   5.0015e+05,   5.0859e+03,   9.7866e+01, 23.6698333333
   160,  -1.6932e+00,   1.5111e+00,   8.7699e-01,   6.0084e-01,   4.6940e+00,   5.0017e+05,   5.0825e+03,   9.7866e+01, 24.2820000000
   165,  -1.6982e+00,   1.5051e+00,   8.7779e-01,   6.0271e-01,   4.6869e+00,   5.0019e+05,   5.0784e+03,   9.7864e+01, 24.9235000000
   170,  -1.7045e+00,   1.4975e+00,   8.7526e-01,   6.0189e-01,   4.6785e+00,   5.0022e+05,   5.0741e+03,   9.7863e+01, 25.5345000000
   175,  -1.7104e+00,   1.4897e+00,   8.7059e-01,   5.9872e-01,   4.6705e+00,   5.0024e+05,   5.0697e+03,   9.7861e+01, 26.2573333333
   180,  -1.7151e+00,   1.4820e+00,   8.6228e-01,   5.9301e-01,   4.6633e+00,   5.0028e+05,   5.0656e+03,   9.7859e+01, 26.9175000000
   185,  -1.7193e+00,   1.4754e+00,   8.5416e-01,   5.8698e-01,   4.6571e+00,   5.0034e+05,   5.0620e+03,   9.7856e+01, 27.5398333333
   190,  -1.7241e+00,   1.4697e+00,   8.4643e-01,   5.8429e-01,   4.6515e+00,   5.0038e+05,   5.0589e+03,   9.7855e+01, 28.1508333333
   195,  -1.7273e+00,   1.4649e+00,   8.4456e-01,   5.8258e-01,   4.6474e+00,   5.0039e+05,   5.0564e+03,   9.7854e+01, 28.8036666667
   200,  -1.7331e+00,   1.4584e+00,   8.4181e-01,   5.8081e-01,   4.6417e+00,   5.0038e+05,   5.0545e+03,   9.7853e+01, 29.6416666667
   205,  -1.7378e+00,   1.4533e+00,   8.4198e-01,   5.8147e-01,   4.6382e+00,   5.0034e+05,   5.0529e+03,   9.7851e+01, 30.3500000000
   210,  -1.7424e+00,   1.4485e+00,   8.3862e-01,   5.8513e-01,   4.6341e+00,   5.0029e+05,   5.0517e+03,   9.7850e+01, 31.0231666667
   215,  -1.7463e+00,   1.4440e+00,   8.3410e-01,   5.9115e-01,   4.6316e+00,   5.0028e+05,   5.0508e+03,   9.7848e+01, 31.6166666667
   220,  -1.7489e+00,   1.4414e+00,   8.2984e-01,   5.9790e-01,   4.6309e+00,   5.0027e+05,   5.0501e+03,   9.7847e+01, 32.2196666667
   225,  -1.7516e+00,   1.4380e+00,   8.2219e-01,   6.0293e-01,   4.6286e+00,   5.0026e+05,   5.0495e+03,   9.7844e+01, 32.8626666667
   230,  -1.7537e+00,   1.4357e+00,   8.1562e-01,   6.0990e-01,   4.6278e+00,   5.0025e+05,   5.0490e+03,   9.7842e+01, 33.4986666667
   235,  -1.7567e+00,   1.4338e+00,   8.0799e-01,   6.1595e-01,   4.6265e+00,   5.0025e+05,   5.0486e+03,   9.7840e+01, 34.2236666667
