VARIABLES = "X" "P"
Zone T = "lower_0.325" , F = point
   -24.120     1.17700
    30.880     1.34600
    41.880     1.49100
    52.880     1.34800
    63.880     1.83300
    74.880     2.16800
    85.880     1.55100
    96.880     2.35500
   107.880     2.00200
   118.880     1.71200
   140.880     1.84400
   151.880     2.78200
   162.880     2.21600
   173.880     2.36800
   184.880     2.39900
   206.880     2.41600
   217.880     2.80600
   228.880     2.58400
   239.880     3.03600
   250.880     2.79000
   261.880     1.30400
   283.880     0.89390
   316.880     0.63710
   327.880     0.52010
   349.880     0.32130
   371.880     0.24530
   417.320     1.08100
   427.100     0.99170
   436.890     0.81800
   446.670     0.56240
   456.460     0.03008
