VARIABLES = "X" "P"
Zone T = "upper_0.351" , F = point
   -35.120     1.26600
   -13.120     1.25600
     8.880     1.26800
    19.880     2.35100
    30.880     0.90180
    52.880     1.92600
    63.880     1.60300
    74.880     1.76600
    85.880     2.25900
    96.880     1.73500
   118.880     2.08900
   129.880     1.78300
   140.880     2.23700
   151.880     2.10100
   184.880     2.75700
   195.880     2.30900
   217.880     2.47800
   228.880     2.95700
   259.550     1.52600
   270.310     1.45400
   281.070     0.93520
   291.830     0.60450
   313.350     0.37340
